Contingency,ElementName,TypeElement,P,Q,I,Loading
Chivor - Sochagota 2 230,Ancon Sur(EPM) - AnconSur(ISA) 2,line, 14.0367663119486, 80.6153399490056, 0.207973005054509, 19.8069528623342
Chivor - Sochagota 2 230,Enea - San Felipe 2 220,line, 42.8388166523017, 0.524149434074019, 0.105040601247262, 11.7232813892033
Chivor - Sochagota 2 230,Armenia - Hermosa 1 230,line, 24.5639848665352, -32.6857590743951, 0.101720606943172, 10.1720606943172
Chivor - Sochagota 2 230,Guatiguara - Primavera 1 230,line, 57.3932431987831, 3.58680927830537, 0.139729589905537, 14.2726853836095
Chivor - Sochagota 2 230,PT Guatiguara- Primavera,node, 229.692055588609, 104.405479813004
Chivor - Sochagota 2 230,Prim - Sog 500 shn,node, 501.646744638646, 100.329348927729
Chivor - Sochagota 2 230,Magdalena M 220,node, 229.705865131773, 104.411756878079
Chivor - Sochagota 2 230,Cerromatoso 3 500/230,trafo2, -63.1634673239671, 19.0152662388846, 63.1634673239671, -17.6791589703474
Chivor - Sochagota 2 230,Paipa 2 220/115,trafo2, 14.2650183676759, 17.3895703069262, -14.2650183676759, -16.9040424284085
Chivor - Sochagota 2 230,Paipa 3 220/115,trafo2, 14.0019500942787, 17.0635674876789, -14.0019500942787, -16.5871385849948
Noroeste - Purnio 1 230,Ancon Sur(EPM) - AnconSur(ISA) 2,line, 15.6470357095925, 80.3058403079099, 0.207993474300676, 19.8089023143501
Noroeste - Purnio 1 230,Enea - San Felipe 2 220,line, 46.2743161149587, 0.102164164890782, 0.113513177286328, 12.6688813935634
Noroeste - Purnio 1 230,Armenia - Hermosa 1 230,line, 25.6748047681193, -32.6905319945853, 0.1034571367883, 10.34571367883
Noroeste - Purnio 1 230,Guatiguara - Primavera 1 230,line, 59.4661079575485, 2.80295001879896, 0.144664355824919, 14.7767472752726
Noroeste - Purnio 1 230,PT Guatiguara- Primavera,node, 229.911430555721, 104.505195707146
Noroeste - Purnio 1 230,Prim - Sog 500 shn,node, 501.553415562516, 100.310683112503
Noroeste - Purnio 1 230,Magdalena M 220,node, 229.77143164413, 104.441559838241
Noroeste - Purnio 1 230,Cerromatoso 3 500/230,trafo2, -63.0857424811239, 18.9073659681096, 63.085742481124, -17.5751854674078
Noroeste - Purnio 1 230,Paipa 2 220/115,trafo2, 14.3070680319771, 18.5871979690142, -14.3070680319771, -18.0646762194931
Noroeste - Purnio 1 230,Paipa 3 220/115,trafo2, 14.0430572614823, 18.239030491266, -14.0430572614823, -17.7263050784708
